"","rn","ERBB2_cor_cna","ERBB2_cor_pro"
"21","ERBB2",1,1
"20","PPP1R1B",0.999704609502087,0.359464937780249
"19","PNMT",0.99696900384434,0.531722423940798
"17","GRB7",0.982530666277284,0.921761831446822
"18","MIEN1",0.982530666277284,0.860592344308155
"16","CDK12",0.898541052686391,0.747032236852826
"14","MED24",0.889747980237405,0.331846962063474
"15","PSMD3",0.889747980237405,0.325763759057925
"13","MED1",0.850387830257632,0.412603751415637
"12","WIPF2",0.711792044014611,0.481738052866674
"11","AR",0.388091133226768,0.455856465369736
"10","RAB1B",0.377476467240685,0.330137830946062
"9","NDOR1",0.367014922604515,0.301652022028504
"7","CLIC3",0.325754742436635,0.431309002323583
"8","MAN1B1",0.325754742436635,0.307728390573253
"6","VAPB",0.32255021478776,0.328594032891475
"5","SEC16A",0.320746954356662,0.46132771581195
"4","MYO18A",0.320413291205624,0.368909631429466
"3","ASRGL1",0.317563272126005,0.557244200150923
"2","ACACA",0.31420723688803,0.327990693225491
"1","PIGS",0.302975430953966,0.412237654713804
