"","rn","ERBB2_cor_cna","ERBB2_cor_rna"
"11","ERBB2",1,1
"10","STARD3",0.999704609502087,0.875063236343256
"9","PGAP3",0.99696900384434,0.896004049304593
"8","GRB7",0.982530666277284,0.927819036937812
"7","ORMDL3",0.922114025756791,0.812655888632665
"6","CDK12",0.898541052686391,0.809587536821857
"4","MED24",0.889747980237405,0.703914415779461
"5","PSMD3",0.889747980237405,0.778485684982132
"3","MED1",0.850387830257632,0.775046788760472
"2","FBXL20",0.848255568414893,0.743296866118667
"1","WIPF2",0.711792044014611,0.731776653497006
