,gene_P,gene_R,corr,cor
545,BCL2L11,GPATCH8,0.888143617,>0.6
362,ARSE,GEMIN8,0.873702533,>0.6
1167,CHRDL1,MAPK7,0.869826224,>0.6
3790,PCDHB11,USF1,0.829634808,>0.6
526,BCL2L11,CAPS2,0.798419508,>0.6
5184,STOX2,PROCR,0.793380161,>0.6
5862,ZDBF2,EEF1A2,0.791098283,>0.6
1148,CHRDL1,ENPP6,0.790206292,>0.6
1161,CHRDL1,KLHL5,0.786376552,>0.6
4871,SLC25A46,FBXW8,0.784583839,>0.6
549,BCL2L11,ITIH4,0.781323818,>0.6
5458,TMEM66,WDR83,0.778432936,>0.6
1907,ETV7,MRPL34,0.778316683,>0.6
2972,LNX2,ATP13A5,0.775194333,>0.6
578,BCL2L11,SCNN1D,0.769881739,>0.6
2781,KL,ATXN7,0.767092707,>0.6
2796,KL,LARP4,0.757709842,>0.6
1652,DYRK4,ATP13A5,0.756732145,>0.6
600,BCL2L11,ZNF439,0.752573805,>0.6
1174,CHRDL1,MT1H,0.749903554,>0.6
1175,CHRDL1,MYO3A,0.7489156,>0.6
860,CACNA1I,RAD1,0.748106797,>0.6
2959,LINGO4,USP12,0.745889185,>0.6
1908,ETV7,ODF3L1,0.744899355,>0.6
1153,CHRDL1,GRHL3,0.74196118,>0.6
3611,NT5C1B,FYN,0.739702973,>0.6
2322,GRAMD3,FAM92B,0.739316543,>0.6
2794,KL,KIAA1751,0.73869805,>0.6
2012,FAM92A1,SEPN1,0.737975957,>0.6
602,BCL2L11,ZNF594,0.737899357,>0.6
511,BCL11B,LAMB4,0.737052384,>0.6
5438,TMEM66,MTERFD3,0.733680911,>0.6
5441,TMEM66,NDUFA5,0.731344087,>0.6
1194,CHRDL1,TLR6,0.730870091,>0.6
1581,DMWD,ATP5I,0.729584382,>0.6
3017,LRRC36,HIST1H1E,0.728666155,>0.6
588,BCL2L11,SYNGAP1,0.727751619,>0.6
1683,EDEM1,BLOC1S3,0.726782599,>0.6
372,ARSE,UXT,0.726753575,>0.6
2013,FAM92A1,WDR66,0.725519525,>0.6
4898,SLC25A46,SP2,0.723191657,>0.6
4180,PTN,YPEL5,0.722788521,>0.6
3784,PCDHB11,MRPL44,0.722697673,>0.6
5494,TOPORS,ANAPC16,0.722523518,>0.6
4907,SLC25A46,TMUB2,0.721628913,>0.6
4913,SLC25A46,ZNF599,0.720635982,>0.6
4361,RIBC1,CCDC115,0.71991384,>0.6
2930,LINGO4,FAM83G,0.719074226,>0.6
1994,FAM73A,CFTR,0.716641883,>0.6
2023,FANCB,HECTD3,0.715886075,>0.6
531,BCL2L11,CDK5RAP3,0.715272277,>0.6
4973,SLIT1,ZNF415,0.714988057,>0.6
192,AKAP6,PSMA5,0.714817566,>0.6
2928,LINGO4,ERN1,0.714705913,>0.6
583,BCL2L11,SLC25A41,0.714101936,>0.6
576,BCL2L11,RRAGB,0.71365788,>0.6
1160,CHRDL1,KIAA0355,0.711059235,>0.6
555,BCL2L11,MAP3K10,0.710323903,>0.6
2300,GPRASP2,CLK4,0.710204408,>0.6
3347,MTMR8,CDA,0.709963763,>0.6
3880,PEX16,CDS2,0.708826118,>0.6
3381,MYC,MIIP,0.708698928,>0.6
69,ACADL,CD99,0.708198007,>0.6
3782,PCDHB11,ATP5O,0.707797426,>0.6
5466,TMOD4,PLCE1,0.707768113,>0.6
196,AKAP6,ZNF593,0.707528189,>0.6
4435,ROBO3,CINP,0.707376924,>0.6
2235,GLIPR1,C7orf26,0.707049476,>0.6
5444,TMEM66,PIGX,0.706937286,>0.6
1180,CHRDL1,PCBP3,0.706026356,>0.6
2808,KL,SLC30A5,0.705428092,>0.6
5597,TTC31,ODF3L1,0.704861415,>0.6
5452,TMEM66,STX10,0.704474266,>0.6
373,ARSE,YY2,0.703915664,>0.6
3639,NTRK3,CFTR,0.703889647,>0.6
3803,PCDHB4,PCDHGA1,0.703221434,>0.6
2233,GLIPR1,APOC2,0.703029932,>0.6
2582,IGSF9,RBX1,0.702952687,>0.6
2579,IGSF9,POMP,0.702229394,>0.6
4911,SLC25A46,ZC3H6,0.70158765,>0.6
357,ARSE,DYRK2,0.700758348,>0.6
1509,DDR2,ATP10D,0.699980583,>0.6
1911,ETV7,ZNF593,0.699302053,>0.6
1147,CHRDL1,ELF4,0.69784518,>0.6
532,BCL2L11,CEP192,0.69628966,>0.6
3221,MLH3,LIN7B,0.695376364,>0.6
1858,ERN1,NHP2L1,0.695358114,>0.6
370,ARSE,TMED2,0.695352212,>0.6
2952,LINGO4,SMCR8,0.695292763,>0.6
2915,LINGO4,ATF2,0.695048151,>0.6
1178,CHRDL1,PABPC4L,0.694836835,>0.6
3636,NTRK1,ZRSR2,0.694743269,>0.6
4859,SLC25A46,ARHGAP33,0.694675316,>0.6
221,ALS2CR11,ZNHIT2,0.69432925,>0.6
5875,ZDHHC21,RIC8B,0.694212065,>0.6
1690,EDEM1,MKRN3,0.694175858,>0.6
1274,CLN6,IFNG,0.693999778,>0.6
84,ACTG1,ARSI,0.693678779,>0.6
599,BCL2L11,ZNF397,0.693608121,>0.6
1184,CHRDL1,PRICKLE1,0.692741584,>0.6
5447,TMEM66,PRKRIP1,0.69255125,>0.6
4738,SETDB2,MRPL16,0.69187845,>0.6
3883,PEX16,HERPUD1,0.69086699,>0.6
5277,TEKT3,SSR4,0.690719765,>0.6
5905,ZMAT1,EPHA4,0.690608441,>0.6
574,BCL2L11,RIC8B,0.690433619,>0.6
2956,LINGO4,TGFBRAP1,0.690228788,>0.6
1124,CHRDL1,BMS1,0.690072864,>0.6
5977,ZNF335,UBE2G2,0.689670283,>0.6
538,BCL2L11,DHX33,0.689586473,>0.6
5293,TET1,COX5B,0.68895983,>0.6
3970,PITX2,LDHC,0.68875005,>0.6
2943,LINGO4,PPP4R2,0.688571746,>0.6
4879,SLC25A46,N4BP2,0.688394433,>0.6
2797,KL,MAN1A2,0.687887772,>0.6
1169,CHRDL1,MCM3AP,0.687492446,>0.6
4862,SLC25A46,BZRAP1,0.686675437,>0.6
1130,CHRDL1,CCDC67,0.686472483,>0.6
5417,TMEM66,C19orf52,0.686408789,>0.6
2961,LINGO4,YLPM1,0.686373372,>0.6
1142,CHRDL1,DCLK2,0.685725752,>0.6
1118,CHRDL1,AMOTL2,0.685669029,>0.6
2021,FANCB,ERCC2,0.685233174,>0.6
4880,SLC25A46,N4BP2L1,0.685139531,>0.6
785,C2orf72,OGDHL,0.685040765,>0.6
4287,RBL1,FAM96B,0.684668231,>0.6
1181,CHRDL1,PGBD5,0.684468606,>0.6
4736,SETDB2,C12orf65,0.684417873,>0.6
5182,STOX2,NFKBIA,0.684283463,>0.6
2933,LINGO4,GTF2I,0.684201994,>0.6
3592,NRXN1,DNTTIP1,0.684131108,>0.6
1856,ERN1,NDUFA6,0.683928443,>0.6
2119,FOXA3,CCDC40,0.683664081,>0.6
3785,PCDHB11,NDUFA10,0.683604626,>0.6
519,BCL2L11,ANKRD26,0.683464422,>0.6
1239,CIITA,TFE3,0.683289651,>0.6
5296,TET1,DNLZ,0.68300318,>0.6
2331,GRHL3,C9orf84,0.682815054,>0.6
5992,ZNF408,ACTR3B,0.682214278,>0.6
2927,LINGO4,EIF3A,0.68212569,>0.6
2342,GRIN1,CABIN1,0.68201644,>0.6
2922,LINGO4,CLOCK,0.681390609,>0.6
1716,EIF2AK3,ITIH2,0.680920042,>0.6
5434,TMEM66,LIN7B,0.680884829,>0.6
1766,ENTHD1,BTN2A1,0.680772084,>0.6
5422,TMEM66,ELOF1,0.680457155,>0.6
4255,RADIL,MRPL4,0.679638128,>0.6
570,BCL2L11,POT1,0.679565651,>0.6
5420,TMEM66,DCAF15,0.679458361,>0.6
603,BCL2L11,ZNF700,0.679384661,>0.6
5294,TET1,COX7B,0.679265213,>0.6
3244,MNX1,ASPM,0.678507777,>0.6
1134,CHRDL1,CEP192,0.677935115,>0.6
4789,SIGLEC11,COPS5,0.677373456,>0.6
3584,NRG2,APOA1,0.677346996,>0.6
1137,CHRDL1,CNTLN,0.676798444,>0.6
3914,PGBD5,TAF6L,0.676306598,>0.6
3725,PARD6A,ADCY9,0.676022758,>0.6
3124,MBTPS2,MST1,0.675614236,>0.6
2566,IGSF9,CSNK1E,0.675481212,>0.6
604,BCL2L11,ZNF791,0.675376405,>0.6
841,C9orf84,GPAM,0.675250012,>0.6
2946,LINGO4,PTPLB,0.674627485,>0.6
2166,FUT10,ARHGEF9,0.674603734,>0.6
5430,TMEM66,HSF4,0.674535869,>0.6
2576,IGSF9,MYL4,0.67449682,>0.6
3593,NRXN1,HSPA6,0.673976785,>0.6
2571,IGSF9,FTL,0.673921497,>0.6
5778,WRB,FAM134A,0.673782752,>0.6
360,ARSE,FANCB,0.673461323,>0.6
2784,KL,CANX,0.673401365,>0.6
1308,CNTNAP1,GFAP,0.673286424,>0.6
579,BCL2L11,SEC31B,0.673240877,>0.6
1291,CMTM6,RALA,0.673240622,>0.6
85,ACTG1,GFPT2,0.672933767,>0.6
3747,PARD6A,PIK3C2A,0.67287396,>0.6
4866,SLC25A46,CCDC41,0.67256172,>0.6
5789,WSB2,GYG2,0.672397519,>0.6
2694,KCNB2,PER3,0.672307236,>0.6
5440,TMEM66,NDUFA12,0.672196728,>0.6
541,BCL2L11,DZIP3,0.672048463,>0.6
5548,TRIM69,C12orf45,0.671925499,>0.6
1400,CRIM1,UBTD1,0.67170585,>0.6
1069,CDT1,ABCB8,0.671696624,>0.6
4903,SLC25A46,SYNGAP1,0.671470018,>0.6
3346,MTMR8,CAPNS1,0.671460683,>0.6
3726,PARD6A,AP1AR,0.671360998,>0.6
5425,TMEM66,FAM193B,0.671100918,>0.6
4055,POTEE,ARSI,0.670951164,>0.6
5598,TTC31,SEPW1,0.67072887,>0.6
3620,NT5C1B,PKN3,0.670661556,>0.6
2807,KL,SCAMP1,0.670336044,>0.6
559,BCL2L11,MTERFD3,0.670201635,>0.6
4799,SIGLEC11,RYR2,0.670049657,>0.6
1208,CHRDL1,ZNF732,0.669594632,>0.6
135,ADCY4,VPS25,0.669475502,>0.6
337,ARMC2,CDK8,0.669416173,>0.6
225,ALX3,ARSI,0.668646752,>0.6
5432,TMEM66,KATNAL2,0.668590094,>0.6
367,ARSE,MRPL37,0.668164821,>0.6
1218,CIITA,APOA1,0.668129025,>0.6
3793,PCDHB15,FOXP3,0.667439805,>0.6
4646,SCN7A,C12orf65,0.667051034,>0.6
547,BCL2L11,HMGN4,0.666978059,>0.6
1746,EMB,KIAA1107,0.666366333,>0.6
561,BCL2L11,MYH7B,0.666230498,>0.6
3408,MYO15A,CYP4F12,0.665966972,>0.6
2648,ITK,C12orf65,0.665745234,>0.6
2133,FOXA3,RMND5B,0.665661596,>0.6
1034,CDCA7L,PIGT,0.665514221,>0.6
2299,GPRASP2,CDK5RAP3,0.665414491,>0.6
1780,ENTHD1,SENP5,0.665254496,>0.6
4610,SCARA3,APOB,0.665180704,>0.6
6141,ZYG11A,COX6A1,0.665130912,>0.6
4720,SERPINA9,MMP8,0.665128341,>0.6
2343,GRIN1,FBXO39,0.664882602,>0.6
3433,MYT1,VWA3A,0.664809196,>0.6
3624,NT5C1B,TEC,0.664626809,>0.6
368,ARSE,PIGA,0.663855602,>0.6
3738,PARD6A,KIAA1430,0.663850169,>0.6
71,ACADL,COPS8,0.663783394,>0.6
1121,CHRDL1,ARHGEF4,0.663578453,>0.6
2767,KIF26A,MT1A,0.663576913,>0.6
3799,PCDHB15,TCF3,0.663509535,>0.6
963,CCDC73,MYO3A,0.663449779,>0.6
3739,PARD6A,KRIT1,0.663417069,>0.6
4253,RADIL,LSM4,0.663035743,>0.6
220,ALS2CR11,TCTEX1D2,0.662991164,>0.6
1684,EDEM1,C1QB,0.662738108,>0.6
2147,FOXP2,RNF10,0.662623453,>0.6
6151,ZYG11A,SNRNP35,0.662517432,>0.6
4701,SERHL2,ATG4A,0.662221203,>0.6
5329,THAP6,ABHD3,0.662153485,>0.6
5262,TDO2,COX5B,0.662142193,>0.6
4356,RHOBTB3,PER1,0.661940544,>0.6
4057,POTEF,ARSI,0.66169306,>0.6
4865,SLC25A46,CCDC115,0.661384871,>0.6
5914,ZMYM5,HUS1B,0.661324999,>0.6
344,ARMC2,VWDE,0.661218824,>0.6
3745,PARD6A,NUP98,0.661149061,>0.6
4870,SLC25A46,EZH1,0.66055282,>0.6
5358,TLR6,KCNH1,0.660531088,>0.6
2819,KL,UBXN4,0.660478087,>0.6
1763,ENTHD1,ARGLU1,0.6604323,>0.6
1362,COX8A,POLR2C,0.66017192,>0.6
2953,LINGO4,SP2,0.66008613,>0.6
2712,KCTD17,ATP10D,0.659884802,>0.6
4842,SLC25A14,TLR6,0.659840452,>0.6
4100,PRICKLE1,YY2,0.659737135,>0.6
2936,LINGO4,KLHL11,0.659412982,>0.6
2958,LINGO4,UHRF1BP1,0.659337053,>0.6
98,ADAM12,ALG11,0.659297445,>0.6
100,ADAM12,LSM5,0.659288398,>0.6
2950,LINGO4,RGP1,0.659260063,>0.6
151,ADCY9,RPA3,0.659158225,>0.6
5093,SPOCD1,NDUFS7,0.658791437,>0.6
5966,ZNF302,MEAF6,0.658644687,>0.6
4735,SETDB2,ARPC4,0.65850632,>0.6
2135,FOXA3,SIDT1,0.658440156,>0.6
1310,CNTNAP1,MAPK4,0.658300617,>0.6
533,BCL2L11,CEP63,0.658131942,>0.6
355,ARSE,CCT5,0.65805345,>0.6
809,C7orf63,FKBP1B,0.657757729,>0.6
1747,EMB,MCOLN1,0.657606751,>0.6
5274,TEKT3,COMMD7,0.657175433,>0.6
601,BCL2L11,ZNF500,0.65716481,>0.6
2924,LINGO4,DDI2,0.657139541,>0.6
5188,STOX2,TFE3,0.657028845,>0.6
1200,CHRDL1,USP43,0.656908391,>0.6
124,ADCY4,CNNM2,0.656853757,>0.6
2869,LAMA5,MAPK4,0.656706253,>0.6
121,ADCY4,ATPIF1,0.656620144,>0.6
595,BCL2L11,WDR60,0.656379935,>0.6
4966,SLIT1,ABCA10,0.656342134,>0.6
5275,TEKT3,CTNNBL1,0.655949006,>0.6
591,BCL2L11,TMUB2,0.655921295,>0.6
4939,SLC30A6,LGALS4,0.65588124,>0.6
1123,CHRDL1,BCHE,0.65578336,>0.6
1185,CHRDL1,PRKDC,0.655712639,>0.6
5460,TMEM68,TEAD2,0.6556528,>0.6
1561,DIXDC1,CCDC152,0.655428166,>0.6
1071,CDT1,FASTK,0.655350284,>0.6
5873,ZDHHC21,MTERFD3,0.655229048,>0.6
2828,KLF13,WDR77,0.654685312,>0.6
551,BCL2L11,KIAA1009,0.654490668,>0.6
374,ARSE,ZDHHC6,0.654402836,>0.6
5276,TEKT3,DYNLRB1,0.654298971,>0.6
3016,LRRC36,FBXO43,0.654217156,>0.6
4628,SCG5,FBXO39,0.654115537,>0.6
4970,SLIT1,RRAGB,0.653868151,>0.6
5874,ZDHHC21,POT1,0.653849346,>0.6
4921,SLC27A6,KIAA1107,0.653741449,>0.6
1283,CLN6,ZC3H12D,0.653420601,>0.6
719,C12orf65,TRAF3,0.653359881,>0.6
1273,CLN6,FCN3,0.65315828,>0.6
713,C12orf65,BTN1A1,0.652862259,>0.6
2033,FANCB,SRRM5,0.6527297,>0.6
5428,TMEM66,GADD45GIP1,0.652609778,>0.6
585,BCL2L11,SRRM2,0.652577962,>0.6
4912,SLC25A46,ZNF568,0.652066205,>0.6
5915,ZMYM5,ITPKA,0.651986353,>0.6
842,C9orf84,HEATR4,0.651863953,>0.6
1203,CHRDL1,YEATS2,0.651816703,>0.6
2239,GLIPR1,MAD2L1BP,0.651792326,>0.6
3409,MYO15A,GNAI1,0.651651871,>0.6
5058,SPAG17,PKNOX2,0.651620382,>0.6
4364,RIBC1,N4BP2L1,0.65156125,>0.6
2765,KIF26A,C6orf136,0.651453733,>0.6
1116,CHRDL1,ACAP2,0.651237534,>0.6
4721,SERPINA9,OSMR,0.651224939,>0.6
4614,SCARA3,PNN,0.651062789,>0.6
2688,KCNAB3,CFLAR,0.651022052,>0.6
